时间,国家,Location,Confirmed,Deaths,Fatality rate
2020-03-20,加拿大,British Columbia,348,8,2.3%
2020-03-20,加拿大,Ontario,318,2,0.6%
2020-03-20,加拿大,Alberta,195,1,0.5%
2020-03-20,加拿大,Quebec,139,1,0.7%
2020-03-20,加拿大,Saskatchewan,26,0,0%
2020-03-20,加拿大,Manitoba,17,0,0%
2020-03-20,加拿大, Nova Scotia,15,0,0%
2020-03-20,加拿大,Grand Princess,12,0,0%
2020-03-20,加拿大,New Brunswick,11,0,0%
2020-03-20,加拿大,Newfoundland and Labrador,4,0,0%
2020-03-20,加拿大,Prince Edward Island,2,0,0%
2020-03-20,加拿大,Diamond Princess,0,1,Infinity%
2020-03-20,美国,New York,8403,46,0.5%
2020-03-20,美国,Washington,1524,83,5.4%
2020-03-20,美国,California,1247,24,1.9%
2020-03-20,美国,New Jersey,890,11,1.2%
2020-03-20,美国,Illinois,585,5,0.9%
2020-03-20,美国,Florida,563,11,2%
2020-03-20,美国,Michigan,552,3,0.5%
2020-03-20,美国,Louisiana,537,14,2.6%
2020-03-20,美国,Georgia,485,14,2.9%
2020-03-20,美国,Texas,424,5,1.2%
2020-03-20,美国,Massachusetts,413,1,0.2%
2020-03-20,美国,Colorado ,363,4,1.1%
2020-03-20,美国,Pennsylvania,311,1,0.3%
2020-03-20,美国,Tennessee,263,1,0.4%
2020-03-20,美国,Wisconsin,210,3,1.4%
2020-03-20,美国,Connecticut,194,4,2.1%
2020-03-20,美国,North Carolina,187,0,0%
2020-03-20,美国,Ohio,174,3,1.7%
2020-03-20,美国,Maryland,149,1,0.7%
2020-03-20,美国,South Carolina,126,3,2.4%
2020-03-20,美国,Virginia,125,2,1.6%
2020-03-20,美国,Minnesota,115,0,0%
2020-03-20,美国,Oregon,114,3,2.6%
2020-03-20,美国,Utah,112,0,0%
2020-03-20,美国,Nevada,109,2,1.8%
2020-03-20,美国,Alabama,106,0,0%
2020-03-20,美国,Arkansas,96,0,0%
2020-03-20,美国,Indiana,86,3,3.5%
2020-03-20,美国,Mississippi,80,1,1.3%
2020-03-20,美国,Arizona,79,0,0%
2020-03-20,美国,"Washington, D.C.",71,1,1.4%
2020-03-20,美国,Missouri,66,3,4.5%
2020-03-20,美国,Kentucky,64,2,3.1%
2020-03-20,美国,Maine,56,0,0%
2020-03-20,美国,New Hampshire,55,0,0%
2020-03-20,美国,Rhode Island,54,0,0%
2020-03-20,美国,Diamond Princess,49,0,0%
2020-03-20,美国,Oklahoma,49,1,2%
2020-03-20,美国,Kansas,48,1,2.1%
2020-03-20,美国,Iowa,45,0,0%
2020-03-20,美国,New Mexico,43,0,0%
2020-03-20,美国,Delaware,39,0,0%
2020-03-20,美国,Nebraska,37,0,0%
2020-03-20,美国,Hawaii,37,0,0%
2020-03-20,美国,Idaho,36,0,0%
2020-03-20,美国,Vermont,29,2,6.9%
2020-03-20,美国,North Dakota,26,0,0%
2020-03-20,美国,Grand Princess,23,1,4.3%
2020-03-20,美国,Wyoming,21,0,0%
2020-03-20,美国,Montana,20,0,0%
2020-03-20,美国,South Dakota,14,1,7.1%
2020-03-20,美国,Puerto Rico,14,0,0%
2020-03-20,美国,Guam,14,0,0%
2020-03-20,美国,Alaska,12,0,0%
2020-03-20,美国,West Virginia,7,0,0%
2020-03-20,美国,Wuhan Evacuee,3,0,0%
2020-03-20,美国,US Virgin Islands,3,0,0%
