时间,国家,Location,Confirmed,Deaths,Fatality rate
2020-03-19,加拿大,British Columbia,271,8,3%
2020-03-19,加拿大,Ontario,257,2,0.8%
2020-03-19,加拿大,Alberta,146,1,0.7%
2020-03-19,加拿大,Quebec,121,1,0.8%
2020-03-19,加拿大,Saskatchewan,20,0,0%
2020-03-19,加拿大,Manitoba,17,0,0%
2020-03-19,加拿大, Nova Scotia,14,0,0%
2020-03-19,加拿大,New Brunswick,11,0,0%
2020-03-19,加拿大,Grand Princess,10,0,0%
2020-03-19,加拿大,Newfoundland and Labrador,3,0,0%
2020-03-19,加拿大,Prince Edward Island,2,0,0%
2020-03-19,美国,New York,5704,38,0.7%
2020-03-19,美国,Washington,1376,74,5.4%
2020-03-19,美国,California,1005,18,1.8%
2020-03-19,美国,New Jersey,742,9,1.2%
2020-03-19,美国,Florida,432,9,2.1%
2020-03-19,美国,Illinois,422,4,0.9%
2020-03-19,美国,Louisiana,392,10,2.6%
2020-03-19,美国,Michigan,334,3,0.9%
2020-03-19,美国,Massachusetts,328,0,0%
2020-03-19,美国,Texas,306,5,1.6%
2020-03-19,美国,Georgia,287,10,3.5%
2020-03-19,美国,Colorado ,277,4,1.4%
2020-03-19,美国,Pennsylvania,206,1,0.5%
2020-03-19,美国,Wisconsin,159,4,2.5%
2020-03-19,美国,Connecticut,159,3,1.9%
2020-03-19,美国,Tennessee,154,0,0%
2020-03-19,美国,North Carolina,136,0,0%
2020-03-19,美国,Ohio,119,0,0%
2020-03-19,美国,Maryland,107,1,0.9%
2020-03-19,美国,Virginia,104,2,1.9%
2020-03-19,美国,Nevada,95,1,1.1%
2020-03-19,美国,Minnesota,89,0,0%
2020-03-19,美国,Oregon,88,3,3.4%
2020-03-19,美国,South Carolina,81,1,1.2%
2020-03-19,美国,Utah,80,0,0%
2020-03-19,美国,Alabama,78,0,0%
2020-03-19,美国,"Washington, D.C.",71,0,0%
2020-03-19,美国,Arkansas,62,0,0%
2020-03-19,美国,Indiana,60,2,3.3%
2020-03-19,美国,Maine,52,0,0%
2020-03-19,美国,Kentucky,50,2,4%
2020-03-19,美国,Mississippi,50,1,2%
2020-03-19,美国,Diamond Princess,47,0,0%
2020-03-19,美国,Arizona,45,0,0%
2020-03-19,美国,Rhode Island,44,0,0%
2020-03-19,美国,New Hampshire,44,0,0%
2020-03-19,美国,Oklahoma,44,1,2.3%
2020-03-19,美国,Iowa,44,0,0%
2020-03-19,美国,Missouri,39,1,2.6%
2020-03-19,美国,Kansas,35,1,2.9%
2020-03-19,美国,New Mexico,35,0,0%
2020-03-19,美国,Delaware,30,0,0%
2020-03-19,美国,Nebraska,29,0,0%
2020-03-19,美国,Hawaii,26,0,0%
2020-03-19,美国,Idaho,23,0,0%
2020-03-19,美国,Grand Princess,22,1,4.5%
2020-03-19,美国,Vermont,22,2,9.1%
2020-03-19,美国,North Dakota,19,0,0%
2020-03-19,美国,Wyoming,18,0,0%
2020-03-19,美国,South Dakota,14,1,7.1%
2020-03-19,美国,Guam,12,0,0%
2020-03-19,美国,Montana,11,0,0%
2020-03-19,美国,Alaska,9,0,0%
2020-03-19,美国,Puerto Rico,5,0,0%
2020-03-19,美国,Wuhan Evacuee,3,0,0%
2020-03-19,美国,US Virgin Islands,3,0,0%
2020-03-19,美国,West Virginia,2,0,0%
