时间,国家,Location,Confirmed,Deaths,Fatality rate
2020-03-22,加拿大,Ontario,425,5,1.2%
2020-03-22,加拿大,British Columbia,424,10,2.4%
2020-03-22,加拿大,Alberta,259,1,0.4%
2020-03-22,加拿大,Quebec,219,4,1.8%
2020-03-22,加拿大,Saskatchewan,52,0,0%
2020-03-22,加拿大, Nova Scotia,28,0,0%
2020-03-22,加拿大,Manitoba,20,0,0%
2020-03-22,加拿大,New Brunswick,17,0,0%
2020-03-22,加拿大,Grand Princess,13,0,0%
2020-03-22,加拿大,Newfoundland and Labrador,9,0,0%
2020-03-22,加拿大,Prince Edward Island,3,0,0%
2020-03-22,加拿大,Northwest Territories,1,0,0%
2020-03-22,加拿大,Diamond Princess,0,1,Infinity%
2020-03-22,美国,New York,15806,117,0.7%
2020-03-22,美国,Washington,1996,95,4.8%
2020-03-22,美国,New Jersey,1914,20,1%
2020-03-22,美国,California,1797,34,1.9%
2020-03-22,美国,Illinois,1049,9,0.9%
2020-03-22,美国,Michigan,1038,9,0.9%
2020-03-22,美国,Florida,1007,13,1.3%
2020-03-22,美国,Louisiana,837,20,2.4%
2020-03-22,美国,Texas,661,8,1.2%
2020-03-22,美国,Massachusetts,646,5,0.8%
2020-03-22,美国,Georgia,621,25,4%
2020-03-22,美国,Colorado ,593,7,1.2%
2020-03-22,美国,Pennsylvania,509,4,0.8%
2020-03-22,美国,Tennessee,505,2,0.4%
2020-03-22,美国,Wisconsin,381,4,1%
2020-03-22,美国,Ohio,356,3,0.8%
2020-03-22,美国,Connecticut,327,8,2.4%
2020-03-22,美国,North Carolina,307,0,0%
2020-03-22,美国,Maryland,249,3,1.2%
2020-03-22,美国,Virginia,221,6,2.7%
2020-03-22,美国,Mississippi,207,1,0.5%
2020-03-22,美国,Indiana,204,6,2.9%
2020-03-22,美国,South Carolina,196,3,1.5%
2020-03-22,美国,Nevada,190,2,1.1%
2020-03-22,美国,Utah,181,1,0.6%
2020-03-22,美国,Minnesota,169,1,0.6%
2020-03-22,美国,Arkansas,165,0,0%
2020-03-22,美国,Oregon,161,5,3.1%
2020-03-22,美国,Alabama,157,0,0%
2020-03-22,美国,Arizona,152,2,1.3%
2020-03-22,美国,"Washington, D.C.",120,2,1.7%
2020-03-22,美国,Kentucky,103,3,2.9%
2020-03-22,美国,Missouri,101,3,3%
2020-03-22,美国,Iowa,90,0,0%
2020-03-22,美国,Maine,89,0,0%
2020-03-22,美国,Rhode Island,83,0,0%
2020-03-22,美国,New Hampshire,78,0,0%
2020-03-22,美国,Oklahoma,67,2,3%
2020-03-22,美国,Kansas,65,2,3.1%
2020-03-22,美国,New Mexico,65,0,0%
2020-03-22,美国,Hawaii,56,0,0%
2020-03-22,美国,Delaware,56,0,0%
2020-03-22,美国,Vermont,52,2,3.8%
2020-03-22,美国,Nebraska,51,0,0%
2020-03-22,美国,Idaho,51,0,0%
2020-03-22,美国,Diamond Princess,49,0,0%
2020-03-22,美国,Montana,34,0,0%
2020-03-22,美国,Grand Princess,30,1,3.3%
2020-03-22,美国,North Dakota,30,0,0%
2020-03-22,美国,Guam,27,1,3.7%
2020-03-22,美国,Wyoming,26,0,0%
2020-03-22,美国,Puerto Rico,23,1,4.3%
2020-03-22,美国,Alaska,22,0,0%
2020-03-22,美国,South Dakota,21,1,4.8%
2020-03-22,美国,West Virginia,16,0,0%
2020-03-22,美国,US Virgin Islands,6,0,0%
2020-03-22,美国,Wuhan Evacuee,4,0,0%
