,date,country,province,city,confirmed,suspected,cured,dead
138,2020-01-29,马来西亚,,,7,0,0,0
139,2020-01-29,加拿大,,,2,0,0,0
140,2020-01-29,韩国,,,4,0,0,0
141,2020-01-29,法国,,,4,0,0,0
142,2020-01-29,德国,,,4,0,0,0
143,2020-01-29,澳大利亚,,,7,0,0,0
144,2020-01-29,阿联酋,,,4,0,0,0
145,2020-01-30,中国,,,9692,15238,171,213
146,2020-01-30,越南,,,2,0,0,0
147,2020-01-30,印度,,,1,0,0,0
148,2020-01-30,新加坡,,,10,0,0,0
149,2020-01-30,泰国,,,14,0,2,0
150,2020-01-30,斯里兰卡,,,1,0,0,0
151,2020-01-30,尼泊尔,,,1,0,0,0
152,2020-01-30,美国,,,5,0,0,0
153,2020-01-30,马来西亚,,,8,0,0,0
154,2020-01-30,加拿大,,,3,0,0,0
155,2020-01-30,韩国,,,6,0,0,0
156,2020-01-30,芬兰,,,1,0,0,0
157,2020-01-30,菲律宾,,,1,0,0,0
158,2020-01-30,法国,,,5,0,0,0
159,2020-01-30,德国,,,4,0,0,0
160,2020-01-30,澳大利亚,,,8,0,2,0
161,2020-01-30,阿联酋,,,4,0,0,0
162,2020-01-31,中国,,,11791,17988,243,259
163,2020-01-31,越南,,,2,0,0,0
164,2020-01-31,印度,,,1,0,0,0
165,2020-01-31,新加坡,,,10,0,0,0
166,2020-01-31,泰国,,,14,0,2,0
167,2020-01-31,斯里兰卡,,,1,0,0,0
168,2020-01-31,尼泊尔,,,1,0,0,0
169,2020-01-31,美国,,,5,0,0,0
170,2020-01-31,马来西亚,,,8,0,0,0
171,2020-01-31,加拿大,,,3,0,0,0
172,2020-01-31,韩国,,,6,0,0,0
173,2020-01-31,芬兰,,,1,0,0,0
174,2020-01-31,菲律宾,,,1,0,0,0
175,2020-01-31,法国,,,5,0,0,0
176,2020-01-31,德国,,,4,0,0,0
177,2020-01-31,澳大利亚,,,8,0,2,0
178,2020-01-31,阿联酋,,,4,0,0,0
179,2020-01-31,日本,,,17,0,1,0
180,2020-02-01,中国,,,14380,19544,328,304
181,2020-02-01,越南,,,2,0,0,0
182,2020-02-01,印度,,,1,0,0,0
183,2020-02-01,新加坡,,,10,0,0,0
184,2020-02-01,泰国,,,14,0,2,0
185,2020-02-01,斯里兰卡,,,1,0,0,0
186,2020-02-01,尼泊尔,,,1,0,0,0
187,2020-02-01,美国,,,5,0,0,0
188,2020-02-01,马来西亚,,,8,0,0,0
189,2020-02-01,加拿大,,,3,0,0,0
190,2020-02-01,韩国,,,6,0,0,0
191,2020-02-01,芬兰,,,1,0,0,0
192,2020-02-01,菲律宾,,,1,0,0,0
193,2020-02-01,法国,,,5,0,0,0
194,2020-02-01,德国,,,4,0,0,0
195,2020-02-01,澳大利亚,,,8,0,2,0
196,2020-02-01,阿联酋,,,4,0,0,0
197,2020-02-01,日本,,,20,0,1,0
198,2020-02-02,中国,,,17205,21558,475,361
199,2020-02-02,越南,,,2,0,0,0
200,2020-02-02,印度,,,1,0,0,0
201,2020-02-02,新加坡,,,10,0,0,0
202,2020-02-02,泰国,,,14,0,2,0
203,2020-02-02,斯里兰卡,,,1,0,0,0
204,2020-02-02,尼泊尔,,,1,0,0,0
205,2020-02-02,美国,,,5,0,0,0
206,2020-02-02,马来西亚,,,8,0,0,0
207,2020-02-02,加拿大,,,3,0,0,0
208,2020-02-02,韩国,,,6,0,0,0
209,2020-02-02,芬兰,,,1,0,0,0
210,2020-02-02,菲律宾,,,1,0,0,0
211,2020-02-02,法国,,,5,0,0,0
212,2020-02-02,德国,,,4,0,0,0
213,2020-02-02,澳大利亚,,,8,0,2,0
214,2020-02-02,阿联酋,,,4,0,0,0
215,2020-02-03,中国,,,20438,23214,632,425
216,2020-02-03,越南,,,2,0,0,0
217,2020-02-03,印度,,,1,0,0,0
218,2020-02-03,新加坡,,,10,0,0,0
219,2020-02-03,泰国,,,14,0,2,0
220,2020-02-03,斯里兰卡,,,1,0,0,0
221,2020-02-03,尼泊尔,,,1,0,0,0
222,2020-02-03,美国,,,5,0,0,0
223,2020-02-03,马来西亚,,,8,0,0,0
224,2020-02-03,加拿大,,,3,0,0,0
225,2020-02-03,韩国,,,6,0,0,0
226,2020-02-03,芬兰,,,1,0,0,0
227,2020-02-03,菲律宾,,,1,0,0,0
228,2020-02-03,法国,,,5,0,0,0
229,2020-02-03,德国,,,4,0,0,0
230,2020-02-03,澳大利亚,,,8,0,2,0
231,2020-02-03,阿联酋,,,4,0,0,0
232,2020-02-04,中国,,,24324,23260,892,490
233,2020-02-04,日本,,,23,0,1,0
234,2020-02-05,中国,,,28018,24702,1153,563
235,2020-02-05,日本,,,23,0,1,0
236,2020-02-06,中国,,,31161,26359,1540,636
237,2020-02-06,越南,,,10,0,3,0
238,2020-02-06,英国,,,2,0,0,0
239,2020-02-06,印度,,,3,0,0,0
240,2020-02-06,意大利,,,2,0,0,0
241,2020-02-06,新加坡,,,28,0,1,0
242,2020-02-06,西班牙,,,1,0,0,0
243,2020-02-06,泰国,,,25,0,8,0
244,2020-02-06,斯里兰卡,,,1,0,1,0
245,2020-02-06,瑞典,,,1,0,0,0
246,2020-02-06,尼泊尔,,,1,0,0,0
247,2020-02-06,美国,,,12,0,1,0
248,2020-02-06,马来西亚,,,14,0,1,0
249,2020-02-06,柬埔寨,,,1,0,0,0
250,2020-02-06,加拿大,,,5,0,1,0
251,2020-02-06,韩国,,,24,0,1,0
252,2020-02-06,芬兰,,,1,0,0,0
253,2020-02-06,菲律宾,,,3,0,0,1
254,2020-02-06,法国,,,6,0,0,0
255,2020-02-06,俄罗斯,,,2,0,0,0
256,2020-02-06,德国,,,12,0,0,0
257,2020-02-06,比利时,,,1,0,0,0
258,2020-02-06,澳大利亚,,,14,0,3,0
259,2020-02-06,阿联酋,,,5,0,0,0
260,2020-02-06,日本,,,25,0,1,0
261,2020-02-07,中国,,,34594,27657,2052,723
262,2020-02-07,越南,,,12,0,3,0
263,2020-02-07,英国,,,3,0,0,0
264,2020-02-07,印度,,,3,0,0,0
265,2020-02-07,意大利,,,3,0,0,0
266,2020-02-07,新加坡,,,33,0,2,0
267,2020-02-07,西班牙,,,1,0,0,0
268,2020-02-07,泰国,,,25,0,8,0
269,2020-02-07,斯里兰卡,,,1,0,1,0
270,2020-02-07,瑞典,,,1,0,0,0
271,2020-02-07,尼泊尔,,,1,0,0,0
272,2020-02-07,美国,,,12,0,1,0
273,2020-02-07,马来西亚,,,14,0,1,0
274,2020-02-07,柬埔寨,,,1,0,0,0
275,2020-02-07,加拿大,,,5,0,1,0
276,2020-02-07,韩国,,,24,0,1,0
277,2020-02-07,芬兰,,,1,0,0,0
278,2020-02-07,菲律宾,,,3,0,0,1
279,2020-02-07,法国,,,6,0,0,0
280,2020-02-07,俄罗斯,,,2,0,0,0
