date,country,province,city,confirmed,cured,dead,suspected
2020-01-22,中国,湖北,武汉,425,28,17,0
2020-01-22,中国,湖北,黄冈,12,0,0,0
2020-01-22,中国,湖北,荆州,6,0,0,0
2020-01-22,中国,湖北,荆门,1,0,0,0
