id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
ITA,1380000,意大利,,,False,1584667575,41035,0,4440,3405,33190
IRN,1364000,伊朗,,,False,1584667575,18407,0,5979,1284,11144
ESP,1724000,西班牙,,,False,1584667575,17147,0,1081,767,15299
DEU,1276000,德国,,,False,1584667575,14259,0,113,43,14103
USA,1840000,美国,,,False,1584667575,13680,0,108,200,13372
FRA,1250000,法国,,,False,1584667575,10995,0,1300,372,9323
KOR,1410000,韩国,,,False,1584667575,8652,0,2233,94,6325
CHE,1756000,瑞士,,,False,1584667575,3438,0,15,33,3390
GBR,1826000,英国,,,False,1584667575,3269,0,67,144,3058
NLD,1528000,荷兰,,,False,1584667575,2460,0,2,76,2382
AUT,1040000,奥地利,,,False,1584667575,2013,0,9,5,1999
BEL,1056000,比利时,,,False,1584667575,1795,0,31,21,1743
NOR,1578000,挪威,,,False,1584667575,1758,0,1,7,1750
SWE,1752000,瑞典,,,False,1584667575,1423,0,16,11,1396
DNK,1208000,丹麦,,,False,1584667575,1206,0,1,6,1199
JPN,1392000,日本,,,False,1584667575,956,0,215,33,708
MYS,1458000,马来西亚,,,False,1584667575,900,0,75,2,823
CAN,1124000,加拿大,,,False,1584667575,873,0,11,12,850
PRT,1620000,葡萄牙,,,False,1584667575,785,0,19,2,764
AUS,1036000,澳大利亚,,,False,1584667575,756,0,27,7,722
AAA,1900000,钻石公主号邮轮,,,False,1584667575,712,0,508,7,197
CZE,1203000,捷克,,,False,1584667575,694,0,3,0,691
ISR,1376000,以色列,,,False,1584667575,677,0,14,0,663
IRL,1372000,爱尔兰,,,False,1584667575,557,0,5,3,549
BRA,1076000,巴西,,,False,1584667575,529,0,150,29,350
QAT,1634000,卡塔尔,,,False,1584667575,452,0,4,0,448
PAK,1586000,巴基斯坦,,,False,1584667575,448,0,13,5,430
GRC,1300000,希腊,,,False,1584667575,418,0,14,5,399
FIN,1246000,芬兰,,,False,1584667575,400,0,10,0,390
TUR,1792000,土耳其,,,False,1584667575,359,0,0,4,355
POL,1616000,波兰,,,False,1584667575,355,0,13,5,337
SGP,1702000,新加坡,,,False,1584667575,345,0,124,0,221
CHL,1152000,智利,,,False,1584667575,342,0,0,0,342
LUX,1442000,卢森堡,,,False,1584667575,335,0,0,4,331
IDN,1360000,印度尼西亚,,,False,1584667575,311,0,15,25,271
SVN,1705000,斯洛文尼亚,,,False,1584667575,286,0,0,1,285
ROU,1642000,罗马尼亚,,,False,1584667575,277,0,19,0,258
SAU,1682000,沙特阿拉伯,,,False,1584667575,272,0,8,0,264
THA,1764000,泰国,,,False,1584667575,272,0,42,1,229
BHR,1048000,巴林,,,False,1584667575,269,0,100,1,168
EST,1233000,爱沙尼亚,,,False,1584667575,267,0,1,0,266
ECU,1218000,厄瓜多尔,,,False,1584667575,260,0,0,3,257
EGY,1818000,埃及,,,False,1584667575,256,0,32,7,217
ISL,1352000,冰岛,,,False,1584667575,250,0,5,1,244
PER,1604000,秘鲁,,,False,1584667575,234,0,1,1,232
PHL,1608000,菲律宾,,,False,1584667575,217,0,8,17,192
RUS,1643000,俄罗斯,,,False,1584667575,199,0,8,1,190
IRQ,1368000,伊拉克,,,False,1584667575,192,0,49,13,130
IND,1356000,印度,,,False,1584667575,176,0,14,4,158
ZAF,1710000,南非,,,False,1584667575,150,0,1,0,149
LBN,1422000,黎巴嫩,,,False,1584667575,149,0,4,4,141
KWT,1414000,科威特,,,False,1584667575,148,0,18,0,130
ARE,1784000,阿联酋,,,False,1584667575,140,0,31,0,109
PAN,1591000,巴拿马,,,False,1584667575,135,0,0,1,134
SVK,1703000,斯洛伐克,,,False,1584667575,123,0,0,0,123
ARM,1051000,亚美尼亚,,,False,1584667575,122,0,1,0,121
SMR,1674000,圣马力诺,,,False,1584667575,119,0,4,11,104
MEX,1484000,墨西哥,,,False,1584667575,118,0,4,1,113
COL,1170000,哥伦比亚,,,False,1584667575,108,0,1,0,107
SRB,1688000,塞尔维亚,,,False,1584667575,103,0,1,0,102
HRV,1191000,克罗地亚,,,False,1584667575,102,0,5,1,96
ARG,1032000,阿根廷,,,False,1584667575,97,0,3,2,92
BGR,1100000,保加利亚,,,False,1584667575,94,0,3,0,91
CRI,1188000,哥斯达黎加,,,False,1584667575,87,0,0,1,86
LVA,1428000,拉脱维亚,,,False,1584667575,86,0,1,0,85
DZA,1012000,阿尔及利亚,,,False,1584667575,82,0,32,8,42
URY,1858000,乌拉圭,,,False,1584667575,79,0,0,0,79
VNM,1704000,越南,,,False,1584667575,76,0,16,0,60
AND,1020000,安道尔,,,False,1584667575,75,0,1,0,74
BRN,1096000,文莱,,,False,1584667575,75,0,0,0,75
HUN,1348000,匈牙利,,,False,1584667575,73,0,2,1,70
JOR,1400000,约旦,,,False,1584667575,70,0,1,0,69
CYP,1196000,塞浦路斯,,,False,1584667575,67,0,0,0,67
BIH,1070000,波黑,,,False,1584667575,64,0,2,0,62
ALB,1008000,阿尔巴尼亚,,,False,1584667575,64,0,0,2,62
MAR,1504000,摩洛哥,,,False,1584667575,63,0,1,2,60
LKA,1144000,斯里兰卡,,,False,1584667575,57,0,3,0,54
MLT,1470000,马耳他,,,False,1584667575,53,0,2,0,51
BLR,1112000,白俄罗斯,,,False,1584667575,51,0,3,0,48
MDA,1498000,摩尔多瓦,,,False,1584667575,49,0,1,1,47
KHM,1116000,柬埔寨,,,False,1584667575,47,0,1,0,46
PSE,1275000,巴勒斯坦,,,False,1584667575,47,0,0,0,47
FRO,1234000,法罗群岛,,,False,1584667575,47,0,0,0,47
KAZ,1398000,哈萨克斯坦,,,False,1584667575,44,0,0,0,44
VEN,1862000,委内瑞拉,,,False,1584667575,42,0,0,0,42
MKD,1807000,北马其顿,,,False,1584667575,42,0,0,0,42
GEO,1268000,格鲁吉亚,,,False,1584667575,40,0,1,0,39
OMN,1512000,阿曼,,,False,1584667575,39,0,13,0,26
NZL,1554000,新西兰,,,False,1584667575,39,0,0,0,39
TUN,1788000,突尼斯,,,False,1584667575,39,0,0,0,39
SEN,1686000,塞内加尔,,,False,1584667575,38,0,2,0,36
LTU,1440000,立陶宛,,,False,1584667575,34,0,1,0,33
AZE,1031000,阿塞拜疆,,,False,1584667575,34,0,6,1,27
DOM,1214000,多米尼加,,,False,1584667575,34,0,0,1,33
BFA,1854000,布基纳法索,,,False,1584667575,33,0,0,1,32
GLP,1312000,瓜德罗普,,,False,1584667575,33,0,0,0,33
LIE,1438000,列支敦士登,,,False,1584667575,28,0,0,0,28
MTQ,1474000,马提尼克,,,False,1584667575,23,0,0,0,23
UZB,1860000,乌兹别克斯坦,,,False,1584667575,23,0,0,0,23
AFG,1004000,阿富汗,,,False,1584667575,22,0,0,0,22
UKR,1804000,乌克兰,,,False,1584667575,21,0,0,3,18
BGD,1050000,孟加拉国,,,False,1584667575,17,0,3,1,13
JAM,1388000,牙买加,,,False,1584667575,15,0,2,0,13
COD,1180000,刚果（金）,,,False,1584667575,14,0,0,0,14
MDV,1462000,马尔代夫,,,False,1584667575,13,0,0,0,13
CMR,1120000,喀麦隆,,,False,1584667575,13,0,2,0,11
NGA,1566000,尼日利亚,,,False,1584667575,12,0,0,0,12
REU,1638000,留尼汪,,,False,1584667575,12,0,0,0,12
GHA,1288000,加纳,,,False,1584667575,11,0,0,0,11
MCO,1492000,摩纳哥,,,False,1584667575,11,0,0,0,11
PRY,1600000,巴拉圭,,,False,1584667575,11,0,0,0,11
BOL,1068000,玻利维亚,,,False,1584667575,11,0,0,0,11
GUF,1254000,法属圭亚那,,,False,1584667575,11,0,0,0,11
CUB,1192000,古巴,,,False,1584667575,10,0,0,1,9
MNE,1499000,黑山,,,False,1584667575,10,0,0,0,10
TGO,1768000,多哥,,,False,1584667575,9,0,0,0,9
HND,1340000,洪都拉斯,,,False,1584667575,9,0,0,0,9
CIV,1384000,科特迪瓦,,,False,1584667575,9,0,1,0,8
ETH,1231000,埃塞俄比亚,,,False,1584667575,9,0,0,0,9
RWA,1646000,卢旺达,,,False,1584667575,8,0,0,0,8
TTO,1780000,特立尼达和多巴哥,,,False,1584667575,7,0,0,0,7
GUY,1328000,圭亚那,,,False,1584667575,7,0,0,1,6
KEN,1404000,肯尼亚,,,False,1584667575,7,0,0,0,7
MNG,1496000,蒙古,,,False,1584667575,6,0,0,0,6
GNQ,1226000,赤道几内亚,,,False,1584667575,6,0,0,0,6
SYC,1690000,塞舌尔,,,False,1584667575,6,0,0,0,6
TZA,1834000,坦桑尼亚,,,False,1584667575,6,0,0,0,6
PRI,1630000,波多黎各,,,False,1584667575,5,0,0,0,5
GUM,1316000,关岛,,,False,1584667575,5,0,0,0,5
ABW,1533000,阿鲁巴,,,False,1584667575,4,0,0,0,4
MUS,1480000,毛里求斯,,,False,1584667575,3,0,0,0,3
BLM,1652000,圣巴泰勒米,,,False,1584667575,3,0,0,0,3
GAB,1266000,加蓬,,,False,1584667575,3,0,0,0,3
COG,1178000,刚果（布）,,,False,1584667575,3,0,0,0,3
GIB,1292000,直布罗陀,,,False,1584667575,3,0,0,0,3
MYT,1175000,马约特,,,False,1584667575,3,0,0,0,3
KGZ,1417000,吉尔吉斯斯坦,,,False,1584667575,3,0,0,0,3
ANT,1530000,荷属安的列斯,,,False,1584667575,3,0,0,0,3
