id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
ITA,1380000,意大利,,,False,1584494830,31506,0,2941,2503,26062
IRN,1364000,伊朗,,,False,1584494830,16169,0,5389,988,9792
ESP,1724000,西班牙,,,False,1584494830,11748,0,1028,533,10187
DEU,1276000,德国,,,False,1584494830,9257,0,67,24,9166
KOR,1410000,韩国,,,False,1584494830,8413,0,1540,84,6789
FRA,1250000,法国,,,False,1584494830,7730,0,602,175,6953
USA,1840000,美国,,,False,1584494830,6421,0,56,108,6257
CHE,1756000,瑞士,,,False,1584494830,2700,0,4,27,2669
GBR,1826000,英国,,,False,1584494830,1960,0,53,71,1836
NLD,1528000,荷兰,,,False,1584494830,1708,0,2,43,1663
NOR,1578000,挪威,,,False,1584494830,1463,0,1,3,1459
AUT,1040000,奥地利,,,False,1584494830,1332,0,9,3,1320
BEL,1056000,比利时,,,False,1584494830,1243,0,1,10,1232
SWE,1752000,瑞典,,,False,1584494830,1190,0,1,7,1182
DNK,1208000,丹麦,,,False,1584494830,1007,0,1,4,1002
JPN,1392000,日本,,,False,1584494830,880,0,157,29,694
AAA,1900000,钻石公主号邮轮,,,False,1584494830,712,0,458,7,247
MYS,1458000,马来西亚,,,False,1584494830,673,0,49,2,622
CAN,1124000,加拿大,,,False,1584494830,478,0,11,5,462
AUS,1036000,澳大利亚,,,False,1584494830,452,0,27,6,419
PRT,1620000,葡萄牙,,,False,1584494830,448,0,3,1,444
QAT,1634000,卡塔尔,,,False,1584494830,439,0,4,0,435
CZE,1203000,捷克,,,False,1584494830,434,0,3,0,431
GRC,1300000,希腊,,,False,1584494830,387,0,10,5,372
ISR,1376000,以色列,,,False,1584494830,344,0,11,0,333
FIN,1246000,芬兰,,,False,1584494830,321,0,10,0,311
BRA,1076000,巴西,,,False,1584494830,321,0,2,1,318
IRL,1372000,爱尔兰,,,False,1584494830,292,0,5,2,285
SVN,1705000,斯洛文尼亚,,,False,1584494830,275,0,0,1,274
SGP,1702000,新加坡,,,False,1584494830,266,0,114,0,152
POL,1616000,波兰,,,False,1584494830,238,0,13,5,220
BHR,1048000,巴林,,,False,1584494830,237,0,81,1,155
PAK,1586000,巴基斯坦,,,False,1584494830,236,0,8,5,223
EST,1233000,爱沙尼亚,,,False,1584494830,225,0,1,0,224
ISL,1352000,冰岛,,,False,1584494830,220,0,1,0,219
CHL,1152000,智利,,,False,1584494830,201,0,0,0,201
EGY,1818000,埃及,,,False,1584494830,196,0,32,6,158
PHL,1608000,菲律宾,,,False,1584494830,187,0,5,14,168
ROU,1642000,罗马尼亚,,,False,1584494830,184,0,16,0,168
THA,1764000,泰国,,,False,1584494830,177,0,41,1,135
IDN,1360000,印度尼西亚,,,False,1584494830,172,0,8,5,159
SAU,1682000,沙特阿拉伯,,,False,1584494830,171,0,6,0,165
IRQ,1368000,伊拉克,,,False,1584494830,154,0,41,11,102
IND,1356000,印度,,,False,1584494830,142,0,14,3,125
