id,code,name,nationalFlag,series,provinces,isTreatingNumClear,confirmedPerMil,continent,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
USA,1840000,美国,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/us.svg,,,False,10968.756,北美洲,1594863077,3610805,0,1636148,139998,1834659
BRA,1076000,巴西,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/br.svg,,,False,9082.085,南美洲,1594863077,1966748,0,1213512,75366,677870
IND,1356000,印度,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/in.svg,,,False,709.1153,亚洲,1594863077,970169,0,613735,24929,331505
RUS,1643000,俄罗斯,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ru.svg,,,False,5092.2314,欧洲,1594863077,746369,0,523249,11770,211350
PER,1604000,秘鲁,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/pe.svg,,,False,10275.162,南美洲,1594863077,337724,0,226400,12417,98907
CHL,1152000,智利,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/cl.svg,,,False,17234.803,南美洲,1594863077,321205,0,292085,7186,21934
MEX,1484000,墨西哥,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/mx.svg,,,False,2306.054,北美洲,1594863077,311486,0,193976,36327,81183
ZAF,1710000,南非,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/za.svg,,,False,5435.5527,非洲,1594863077,311049,0,160693,4453,145903
ESP,1724000,西班牙,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/es.svg,,,False,6649.2163,欧洲,1594863077,304574,0,196958,28413,79203
GBR,1826000,英国,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/gb.svg,,,False,4384.679,欧洲,1594863077,291911,0,1918,45053,244940
IRN,1364000,伊朗,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_6d95c7795477a245a6767c768413b06e.svg,,,False,3159.649,亚洲,1594863077,264561,0,227561,13410,23590
PAK,1586000,巴基斯坦,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/pk.svg,,,False,1232.6779,亚洲,1594863077,255769,0,172810,5386,77573
ITA,1380000,意大利,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_26e490595f3e649b85a072793de33a44.svg,,,False,4059.5159,欧洲,1594863077,243506,0,196016,34997,12493
SAU,1682000,沙特阿拉伯,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/sa.svg,,,False,7024.6255,亚洲,1594863077,240474,0,183048,2325,55101
TUR,1792000,土耳其,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/tr.svg,,,False,2543.5942,亚洲,1594863077,215940,0,197733,5419,12788
DEU,1276000,德国,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/de.svg,,,False,2476.3413,欧洲,1594863077,201707,0,187882,9261,4564
BGD,1050000,孟加拉国,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/bd.svg,,,False,1139.6228,亚洲,1594863077,193590,0,105523,2457,85610
FRA,1250000,法国,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_5a004664e43b5ac5a766a9fcf57edd99.svg,,,False,2637.1187,欧洲,1594863077,173304,0,78820,30120,64364
COL,1170000,哥伦比亚,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/co.svg,,,False,3201.8662,南美洲,1594863077,159898,0,68806,5625,85467
CAN,1124000,加拿大,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_99b8c70610267babef8e2ec54f12748c.svg,,,False,2916.2039,北美洲,1594863077,108719,0,72377,8810,27532
ARG,1032000,阿根廷,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ar.svg,,,False,2373.9314,南美洲,1594863077,106910,0,47298,1987,57625
QAT,1634000,卡塔尔,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/qa.svg,,,False,40948.203,亚洲,1594863077,104983,0,101637,151,3195
EGY,1818000,埃及,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/eg.svg,,,False,785.0645,非洲,1594863077,84843,0,26135,4067,54641
IRQ,1368000,伊拉克,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/iq.svg,,,False,2051.993,亚洲,1594863077,83867,0,52621,3432,27814
IDN,1360000,印度尼西亚,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/id.svg,,,False,293.60852,亚洲,1594863077,80094,0,39050,3797,37247
SWE,1752000,瑞典,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/se.svg,,,False,7595.2734,欧洲,1594863077,76492,0,4971,5572,65949
ECU,1218000,厄瓜多尔,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ec.svg,,,False,4095.0857,南美洲,1594863077,70329,0,30641,5158,34530
BLR,1112000,白俄罗斯,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/by.svg,,,False,6888.302,欧洲,1594863077,65443,0,56379,480,8584
KAZ,1398000,哈萨克斯坦,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/kz.svg,,,False,3411.43,亚洲,1594863077,63514,0,38008,375,25131
BEL,1056000,比利时,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/be.svg,,,False,5434.993,欧洲,1594863077,62872,0,17242,9788,35842
OMN,1512000,阿曼,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_d783afa74ccdd73b7e62de3e0fe998a2.svg,,,False,10781.024,亚洲,1594863077,61247,0,39038,281,21928
PHL,1608000,菲律宾,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ph.svg,,,False,529.0442,亚洲,1594863077,58850,0,20976,1614,36260
KWT,1414000,科威特,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/kw.svg,,,False,12751.261,亚洲,1594863077,56877,0,46897,399,9581
ARE,1784000,阿联酋,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ae.svg,,,False,5756.161,亚洲,1594863077,55848,0,46418,335,9095
UKR,1804000,乌克兰,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/ua.svg,,,False,1317.7639,欧洲,1594863077,55607,0,28131,1427,26049
NLD,1528000,荷兰,https://sf1-hscdn-tos.pstatp.com/obj/ies-fe-bee/bee_prod/biz_73/tos_9e6d63ac790e0cc0fed39f770b9a81c3.svg,,,False,2964.0852,欧洲,1594863077,51252,0,322,6136,44794
BOL,1068000,玻利维亚,https://s2.pstatp.com/cdn/expire-1-M/flag-icon-css/3.3.0/flags/4x3/bo.svg,,,False,4489.585,南美洲,1594863077,50867,0,15819,1898,33150
