id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
ITA,1380000,意大利,,,False,1584581378,35713,0,2941,2978,29794
IRN,1364000,伊朗,,,False,1584581378,17361,0,5710,1135,10516
ESP,1724000,西班牙,,,False,1584581378,13910,0,1081,623,12206
DEU,1276000,德国,,,False,1584581378,12327,0,105,28,12194
FRA,1250000,法国,,,False,1584581378,9052,0,602,175,8275
KOR,1410000,韩国,,,False,1584581378,8413,0,1540,91,6782
USA,1840000,美国,,,False,1584581378,7769,0,106,118,7545
CHE,1756000,瑞士,,,False,1584581378,3028,0,15,28,2985
GBR,1826000,英国,,,False,1584581378,2642,0,67,71,2504
NLD,1528000,荷兰,,,False,1584581378,2058,0,2,58,1998
AUT,1040000,奥地利,,,False,1584581378,1646,0,9,4,1633
NOR,1578000,挪威,,,False,1584581378,1562,0,1,6,1555
BEL,1056000,比利时,,,False,1584581378,1486,0,31,14,1441
SWE,1752000,瑞典,,,False,1584581378,1279,0,1,10,1268
DNK,1208000,丹麦,,,False,1584581378,1115,0,1,4,1110
JPN,1392000,日本,,,False,1584581378,921,0,171,31,719
MYS,1458000,马来西亚,,,False,1584581378,790,0,49,2,739
CAN,1124000,加拿大,,,False,1584581378,727,0,11,9,707
AAA,1900000,钻石公主号邮轮,,,False,1584581378,712,0,508,7,197
PRT,1620000,葡萄牙,,,False,1584581378,642,0,3,1,638
AUS,1036000,澳大利亚,,,False,1584581378,596,0,27,6,563
CZE,1203000,捷克,,,False,1584581378,522,0,3,0,519
BRA,1076000,巴西,,,False,1584581378,514,0,2,1,511
QAT,1634000,卡塔尔,,,False,1584581378,439,0,4,0,435
ISR,1376000,以色列,,,False,1584581378,433,0,11,0,422
GRC,1300000,希腊,,,False,1584581378,387,0,14,5,368
FIN,1246000,芬兰,,,False,1584581378,359,0,10,0,349
SGP,1702000,新加坡,,,False,1584581378,313,0,114,0,199
IRL,1372000,爱尔兰,,,False,1584581378,292,0,5,2,285
SVN,1705000,斯洛文尼亚,,,False,1584581378,275,0,0,1,274
EST,1233000,爱沙尼亚,,,False,1584581378,258,0,1,0,257
POL,1616000,波兰,,,False,1584581378,246,0,13,5,228
BHR,1048000,巴林,,,False,1584581378,237,0,81,1,155
PAK,1586000,巴基斯坦,,,False,1584581378,236,0,8,5,223
IDN,1360000,印度尼西亚,,,False,1584581378,227,0,8,19,200
ISL,1352000,冰岛,,,False,1584581378,220,0,1,0,219
THA,1764000,泰国,,,False,1584581378,212,0,41,1,170
LUX,1442000,卢森堡,,,False,1584581378,203,0,0,2,201
PHL,1608000,菲律宾,,,False,1584581378,202,0,5,17,180
CHL,1152000,智利,,,False,1584581378,201,0,0,0,201
