id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
ITA,1380000,意大利,,,False,1584322258,24938,0,2335,1809,20794
IRN,1364000,伊朗,,,False,1584322258,13938,0,4590,724,8624
KOR,1410000,韩国,,,False,1584322258,8236,0,1173,75,6988
ESP,1724000,西班牙,,,False,1584322258,7798,0,571,289,6938
DEU,1276000,德国,,,False,1584322258,5813,0,46,13,5754
FRA,1250000,法国,,,False,1584322258,5423,0,12,127,5284
USA,1840000,美国,,,False,1584322258,3499,0,56,65,3378
CHE,1756000,瑞士,,,False,1584322258,2220,0,4,14,2202
GBR,1826000,英国,,,False,1584322258,1372,0,19,35,1318
NOR,1578000,挪威,,,False,1584322258,1207,0,1,3,1203
NLD,1528000,荷兰,,,False,1584322258,1135,0,0,20,1115
SWE,1752000,瑞典,,,False,1584322258,1023,0,1,3,1019
BEL,1056000,比利时,,,False,1584322258,886,0,1,4,881
DNK,1208000,丹麦,,,False,1584322258,875,0,1,3,871
AUT,1040000,奥地利,,,False,1584322258,860,0,6,2,852
JPN,1392000,日本,,,False,1584322258,818,0,144,24,650
AAA,1900000,钻石公主号邮轮,,,False,1584322258,712,0,456,7,249
MYS,1458000,马来西亚,,,False,1584322258,428,0,35,0,393
QAT,1634000,卡塔尔,,,False,1584322258,401,0,4,0,397
GRC,1300000,希腊,,,False,1584322258,331,0,8,4,319
CAN,1124000,加拿大,,,False,1584322258,313,0,11,1,301
AUS,1036000,澳大利亚,,,False,1584322258,297,0,27,5,265
PRT,1620000,葡萄牙,,,False,1584322258,245,0,0,0,245
FIN,1246000,芬兰,,,False,1584322258,244,0,1,0,243
CZE,1203000,捷克,,,False,1584322258,231,0,0,0,231
SGP,1702000,新加坡,,,False,1584322258,226,0,105,0,121
SVN,1705000,斯洛文尼亚,,,False,1584322258,219,0,0,1,218
BHR,1048000,巴林,,,False,1584322258,214,0,60,0,154
ISR,1376000,以色列,,,False,1584322258,213,0,4,0,209
BRA,1076000,巴西,,,False,1584322258,200,0,0,0,200
ISL,1352000,冰岛,,,False,1584322258,177,0,1,0,176
EST,1233000,爱沙尼亚,,,False,1584322258,171,0,0,0,171
IRL,1372000,爱尔兰,,,False,1584322258,169,0,0,2,167
PHL,1608000,菲律宾,,,False,1584322258,140,0,2,12,126
ROU,1642000,罗马尼亚,,,False,1584322258,131,0,9,0,122
EGY,1818000,埃及,,,False,1584322258,126,0,26,2,98
POL,1616000,波兰,,,False,1584322258,125,0,0,3,122
IRQ,1368000,伊拉克,,,False,1584322258,124,0,26,9,89
SAU,1682000,沙特阿拉伯,,,False,1584322258,118,0,3,0,115
IDN,1360000,印度尼西亚,,,False,1584322258,117,0,5,4,108
THA,1764000,泰国,,,False,1584322258,114,0,35,1,78
IND,1356000,印度,,,False,1584322258,113,0,13,2,98
KWT,1414000,科威特,,,False,1584322258,112,0,9,0,103
LBN,1422000,黎巴嫩,,,False,1584322258,110,0,1,3,106
ARE,1784000,阿联酋,,,False,1584322258,98,0,26,0,72
SMR,1674000,圣马力诺,,,False,1584322258,98,0,2,7,89
CHL,1152000,智利,,,False,1584322258,75,0,0,0,75
PER,1604000,秘鲁,,,False,1584322258,71,0,0,0,71
RUS,1643000,俄罗斯,,,False,1584322258,64,0,8,0,56
ZAF,1710000,南非,,,False,1584322258,61,0,1,0,60
SVK,1703000,斯洛伐克,,,False,1584322258,61,0,0,0,61
LUX,1442000,卢森堡,,,False,1584322258,59,0,0,1,58
VNM,1704000,越南,,,False,1584322258,57,0,16,0,41
DZA,1012000,阿尔及利亚,,,False,1584322258,54,0,12,4,38
PAK,1586000,巴基斯坦,,,False,1584322258,53,0,2,0,51
BGR,1100000,保加利亚,,,False,1584322258,51,0,0,2,49
BRN,1096000,文莱,,,False,1584322258,50,0,0,0,50
HRV,1191000,克罗地亚,,,False,1584322258,49,0,1,0,48
SRB,1688000,塞尔维亚,,,False,1584322258,48,0,0,0,48
ARG,1032000,阿根廷,,,False,1584322258,45,0,1,2,42
