id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
BOL,1068000,玻利维亚,,,False,1584408637,10,0,0,0,10
FRO,1234000,法罗群岛,,,False,1584408637,9,0,0,0,9
NZL,1554000,新西兰,,,False,1584408637,8,0,0,0,8
PRY,1600000,巴拉圭,,,False,1584408637,8,0,0,0,8
BGD,1050000,孟加拉国,,,False,1584408637,8,0,2,0,6
KAZ,1398000,哈萨克斯坦,,,False,1584408637,8,0,0,0,8
JAM,1388000,牙买加,,,False,1584408637,8,0,0,0,8
MCO,1492000,摩纳哥,,,False,1584408637,7,0,0,0,7
GUF,1254000,法属圭亚那,,,False,1584408637,7,0,0,0,7
REU,1638000,留尼汪,,,False,1584408637,7,0,0,0,7
RWA,1646000,卢旺达,,,False,1584408637,7,0,0,0,7
GHA,1288000,加纳,,,False,1584408637,6,0,0,0,6
GUY,1328000,圭亚那,,,False,1584408637,6,0,0,1,5
URY,1858000,乌拉圭,,,False,1584408637,6,0,0,0,6
UKR,1804000,乌克兰,,,False,1584408637,5,0,0,1,4
LIE,1438000,列支敦士登,,,False,1584408637,4,0,0,0,4
CMR,1120000,喀麦隆,,,False,1584408637,4,0,0,0,4
CIV,1384000,科特迪瓦,,,False,1584408637,4,0,0,0,4
CUB,1192000,古巴,,,False,1584408637,4,0,0,0,4
ETH,1231000,埃塞俄比亚,,,False,1584408637,4,0,0,0,4
SYC,1690000,塞舌尔,,,False,1584408637,4,0,0,0,4
UZB,1860000,乌兹别克斯坦,,,False,1584408637,4,0,0,0,4
COD,1180000,刚果（金）,,,False,1584408637,3,0,0,0,3
KEN,1404000,肯尼亚,,,False,1584408637,3,0,0,0,3
PRI,1630000,波多黎各,,,False,1584408637,3,0,0,0,3
NGA,1566000,尼日利亚,,,False,1584408637,2,0,0,0,2
MAF,1663000,圣马丁,,,False,1584408637,2,0,0,0,2
HND,1340000,洪都拉斯,,,False,1584408637,2,0,0,0,2
GTM,1320000,危地马拉,,,False,1584408637,2,0,0,1,1
JEY,1832000,泽西岛,,,False,1584408637,2,0,0,0,2
ABW,1533000,阿鲁巴,,,False,1584408637,2,0,0,0,2
NAM,1516000,纳米比亚,,,False,1584408637,2,0,0,0,2
GIN,1324000,几内亚,,,False,1584408637,1,0,0,0,1
GIB,1292000,直布罗陀,,,False,1584408637,1,0,0,0,1
BTN,1064000,不丹,,,False,1584408637,1,0,0,0,1
VAT,1336000,梵蒂冈,,,False,1584408637,1,0,0,0,1
TGO,1768000,多哥,,,False,1584408637,1,0,0,0,1
BLM,1652000,圣巴泰勒米,,,False,1584408637,1,0,0,0,1
MNG,1496000,蒙古,,,False,1584408637,1,0,0,0,1
GGY,1831000,格恩西岛,,,False,1584408637,1,0,0,0,1
GAB,1266000,加蓬,,,False,1584408637,1,0,0,0,1
PYF,1258000,法属波利尼西亚,,,False,1584408637,1,0,0,0,1
BEN,1204000,贝宁,,,False,1584408637,1,0,0,0,1
NPL,1524000,尼泊尔,,,False,1584408637,1,0,1,0,0
SDN,1736000,苏丹,,,False,1584408637,1,0,0,1,0
ATG,1028000,安提瓜和巴布达,,,False,1584408637,1,0,0,0,1
VCT,1670000,圣文森特和格林纳丁斯,,,False,1584408637,1,0,0,0,1
MRT,1478000,毛利塔尼亚,,,False,1584408637,1,0,0,0,1
SWZ,1748000,斯威士兰,,,False,1584408637,1,0,0,0,1
GNQ,1226000,赤道几内亚,,,False,1584408637,1,0,0,0,1
GLP,1312000,瓜德罗普,,,False,1584408637,1,0,0,0,1
CYM,1136000,开曼群岛,,,False,1584408637,1,0,0,1,0
COG,1178000,刚果（布）,,,False,1584408637,1,0,0,0,1
SUR,1740000,苏里南,,,False,1584408637,1,0,0,0,1
CAF,1140000,中非,,,False,1584408637,1,0,0,0,1
BHS,1044000,巴哈马,,,False,1584408637,1,0,0,0,1
ANT,1530000,荷属安的列斯,,,False,1584408637,1,0,0,0,1
MYT,1175000,马约特,,,False,1584408637,1,0,0,0,1
LBR,1430000,利比里亚,,,False,1584408637,1,0,0,0,1
TZA,1834000,坦桑尼亚,,,False,1584408637,1,0,0,0,1
SOM,1706000,索马里,,,False,1584408637,1,0,0,0,1
TTO,1780000,特立尼达和多巴哥,,,False,1584408637,1,0,0,0,1
